fir_id,crime_type,severity,status,date,time,area,city,state,lat,lng,crime_description,victim_name,victim_gender,victim_age,victim_contact,victim_email,victim_address
FIR100010,Murder,Medium,Resolved,2025-10-16,01:35:05,Thane,Mumbai,Maharashtra,19.21752548428312,72.97560467898792,Officia et eum eaque quibusdam nisi cupiditate.,Upadhriti Borra,Male,61,+915058300335,inayachopra@example.org,"H.No. 436, Kadakia Road, Jhansi-004132"
FIR100011,Theft,Low,Pending,2025-11-10,07:49:23,Thane,Mumbai,Maharashtra,19.213720246751713,72.97934874099607,Doloribus fugit fugit nesciunt vel incidunt cupiditate cumque expedita.,Upkaar Ranganathan,Male,71,02168942104,gchowdhury@example.org,"H.No. 71, Parmar Marg, Hyderabad 565346"
FIR100012,Drug Offense,Critical,Pending,2026-01-08,16:29:27,Goregaon East Ext Ext,Mumbai,Maharashtra,19.184992241958042,72.86579740425117,Modi at dolorum rerum numquam molestiae quidem non accusamus numquam.,Gautam Rana,Female,35,07898562575,samarnanda@example.net,"70/755, Kumer Nagar, Yamunanagar-699570"
FIR100013,Murder,Medium,Pending,2025-08-26,06:12:45,Jogeshwari East Ext,Mumbai,Maharashtra,19.13531726486613,72.85399639396495,Quos esse eligendi occaecati corrupti a incidunt debitis quia earum.,Aishani Yadav,Female,20,+912603323098,ojasvi16@example.com,"17, Chanda Road, Sambalpur-765397"
FIR100014,Burglary,Medium,Resolved,2025-03-01,23:32:38,Jogeshwari East,Mumbai,Maharashtra,19.135300373295504,72.86106087060482,Dicta error maxime non veritatis ducimus labore aut vero minima.,Suhani Pillay,Female,24,+911506489090,aryannarain@example.net,"H.No. 87, Roy Ganj, Hyderabad 908718"
FIR100015,Fraud,Low,Active,2025-09-13,21:50:01,Mulund West Ext Ext,Mumbai,Maharashtra,19.166820901446226,72.94900546980817,Temporibus ducimus alias ipsa repellat repellat cupiditate dolorum natus fugit nulla consequatur ex.,Lakshmi Prabhu,Male,60,1001676184,gautami65@example.com,"H.No. 96, Bava Circle, Bhimavaram-872742"
FIR100016,Fraud,Low,Resolved,2025-07-09,10:48:11,Goregaon East Ext Ext,Mumbai,Maharashtra,19.180515383054992,72.86682014361033,Ipsum dignissimos reprehenderit accusantium similique cum quis.,Vivaan Sinha,Other,35,02304618499,azaan25@example.org,"56/12, Issac Zila, Shivpuri 062604"
FIR100017,Burglary,High,Resolved,2025-02-08,04:25:54,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.91304393086883,72.82609277459318,Odio vel rem voluptates non sunt ullam sapiente sint dolorum incidunt temporibus sit in eveniet.,Falak Kant,Other,61,2618914117,mason90@example.org,"H.No. 97, Saxena Ganj, Salem-229907"
FIR100018,Domestic Violence,Critical,Active,2025-02-07,09:30:36,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.1336083812148,72.83928819024669,Nobis saepe iusto eveniet ea commodi molestias dicta alias nihil nihil earum.,Ucchal Mittal,Female,55,+919348356420,dhritivaidya@example.net,"60/858, Sahota Zila, Visakhapatnam-686111"
FIR100019,Burglary,Critical,Resolved,2025-03-04,20:33:39,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.911985297020806,72.82845074389242,Magni iste vel voluptates qui nostrum illo fugiat vitae inventore nihil nostrum ducimus accusamus praesentium.,Jackson Dey,Male,54,7375300119,tanveer69@example.org,"68, Devan Ganj, Nagpur 192378"
FIR100020,Burglary,High,Active,2025-04-21,09:13:31,Mulund West Ext,Mumbai,Maharashtra,19.15804173779937,72.94789128891071,Praesentium sequi ad sint sequi nesciunt assumenda ea ipsam aspernatur ad quis reiciendis ea.,Baljiwan Modi,Other,75,7218114374,lakshmibrar@example.org,"12, Sachdev, Karaikudi 332426"
FIR100021,Fraud,Critical,Resolved,2025-04-27,10:05:19,Cuffe Parade Ext Ext,Mumbai,Maharashtra,18.909879672292888,72.8303009517617,Aut hic repudiandae in quas a excepturi molestiae magnam velit placeat fugit optio ea.,Jack Chatterjee,Female,50,07012045561,yahvisahota@example.net,"H.No. 801, Lata Circle, Avadi 537337"
FIR100022,Cybercrime,Critical,Active,2025-08-11,03:52:16,Goregaon East Ext Ext,Mumbai,Maharashtra,19.184859910671076,72.86629286891024,Dignissimos possimus voluptas facilis suscipit voluptatem nemo eveniet sunt.,Krishna Rama,Other,61,+910022557941,wablecharan@example.net,"126, Bobal Circle, Warangal-178192"
FIR100023,Fraud,Critical,Pending,2025-09-17,07:37:27,Bandra East Ext,Mumbai,Maharashtra,19.06856015161535,72.85350844661903,Eveniet tenetur officia quos illum provident ratione dolorem exercitationem aliquid repudiandae.,Kamala Zachariah,Other,76,05216674676,hvohra@example.com,"53/460, Basak Marg, Tenali-356793"
FIR100024,Drug Offense,Critical,Resolved,2025-02-06,18:29:19,Jogeshwari East Ext Ext Ext Ext,Mumbai,Maharashtra,19.129895176134465,72.83667830645871,Temporibus recusandae ipsa iusto praesentium nesciunt tempore reiciendis commodi vero sapiente.,Mohammed Sachdeva,Male,48,2120216979,amruta39@example.com,"86/23, Verma, Mehsana-690618"
FIR100025,Theft,Critical,Resolved,2025-09-01,17:37:36,Mulund West Ext Ext,Mumbai,Maharashtra,19.161052696662384,72.95292917594914,Animi similique similique molestiae sit voluptatum incidunt cupiditate fugiat rerum maiores ratione.,Vrishti Reddy,Male,75,7296590277,falgunikibe@example.com,"05/464, Om Chowk, Jorhat 478769"
FIR100026,Vandalism,Low,Resolved,2025-04-14,08:30:30,Jogeshwari East Ext Ext Ext Ext,Mumbai,Maharashtra,19.130328767881537,72.8300348479559,Illum quidem maxime enim doloribus quibusdam similique sit perferendis deserunt maiores dolore quam assumenda quo sed.,Bachittar Prabhakar,Other,28,+916701450899,tamannamurty@example.net,"H.No. 17, Walia Path, Chandrapur-449835"
FIR100027,Cybercrime,Critical,Resolved,2025-11-01,03:55:24,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.106545803796717,72.84645494839903,Ipsa neque nobis assumenda rem officiis a eos ullam.,Sachi Saxena,Female,21,+915889163756,khoslasai@example.net,"35/43, Vasa Path, Alwar 963924"
FIR100028,Assault,Low,Pending,2025-10-06,01:08:34,Kurla West Ext Ext,Mumbai,Maharashtra,19.06122764276445,72.87749457544227,Corporis sit provident itaque minima quis aliquid dolor eveniet corporis veniam quibusdam.,Janani Chaudhary,Male,76,+918900287721,fpathak@example.com,"88/537, Venkatesh, Kochi-339527"
FIR100029,Vandalism,Critical,Resolved,2025-10-26,11:36:09,Bandra East,Mumbai,Maharashtra,19.06160698476645,72.848327668796,Ducimus perspiciatis distinctio nisi illo quos fugiat qui doloribus autem.,Jagrati Bhat,Other,35,05354083866,pathakveda@example.net,"74, Sharaf, Ulhasnagar 914168"
FIR100030,Theft,High,Pending,2025-08-26,20:10:49,Cuffe Parade,Mumbai,Maharashtra,18.906165344701954,72.82225443883223,Perferendis corrupti dolore ipsam in labore sapiente temporibus.,Anya Gupta,Male,21,+911779717751,saumyasahota@example.org,"H.No. 347, Malhotra Chowk, Davanagere-067917"
FIR100031,Drug Offense,Medium,Pending,2025-07-08,05:19:54,Andheri West Ext,Mumbai,Maharashtra,19.124870118252385,72.82871140640981,Sunt saepe suscipit error sint itaque suscipit cupiditate impedit consequatur doloribus hic modi possimus.,Suhani Chand,Male,66,00166088019,yashreddy@example.net,"H.No. 12, Das Street, Meerut-141884"
FIR100032,Drug Offense,Low,Pending,2025-04-22,13:20:41,Mulund East Ext Ext,Mumbai,Maharashtra,19.172068756717934,72.95746675654537,Nostrum tenetur totam non repellendus eaque libero quo fugiat earum enim dolores eligendi magnam ex.,Ansh Bedi,Male,51,4883755037,abhamangat@example.com,"63/090, Choudhury Nagar, Bally-633399"
FIR100033,Assault,Critical,Pending,2025-07-20,02:19:05,Kandivali West,Mumbai,Maharashtra,19.204387679654644,72.85043921047013,Explicabo deleniti quibusdam ratione soluta sit vitae quos labore iure nam eligendi eaque corrupti vero laboriosam.,Yagnesh Dass,Other,46,08997571130,jacob16@example.com,"208, Nadig, Tirunelveli 389021"
FIR100034,Cybercrime,High,Active,2025-09-12,15:37:40,Malad East Ext,Mumbai,Maharashtra,19.179838059541318,72.86082537886162,Explicabo est ipsum dicta at et iusto dignissimos quod animi nihil ratione officia aliquid.,Ekapad Johal,Female,41,05488510272,wardahora@example.org,"H.No. 136, Khurana Ganj, Phagwara 234103"
FIR100035,Domestic Violence,Medium,Active,2025-05-15,07:54:09,Mulund West Ext Ext,Mumbai,Maharashtra,19.16422105952121,72.95530124606638,Qui recusandae fuga explicabo magni doloribus enim ea doloribus voluptatem reiciendis.,Viraj Narasimhan,Female,39,6149331637,kaurora@example.org,"96/73, Chaudhry Ganj, Alappuzha 726960"
FIR100036,Burglary,Low,Resolved,2025-12-07,16:46:38,Mulund East Ext Ext,Mumbai,Maharashtra,19.17491709443225,72.96361569147058,Facilis exercitationem debitis dicta perspiciatis velit inventore adipisci placeat totam quis similique alias.,Aarnav Malhotra,Female,19,+915160917798,wlall@example.net,"76/855, Tata Nagar, Mango 521962"
FIR100037,Cybercrime,Medium,Active,2025-12-30,10:21:01,Navi Mumbai,Mumbai,Maharashtra,19.03099919111507,73.03102282153638,Adipisci voluptatum qui architecto quasi repellendus nesciunt quidem facere in aspernatur porro nisi necessitatibus.,Kalpit Zachariah,Male,61,+917080869782,ichaudhuri@example.org,"556, Kothari Road, Ahmednagar-970931"
FIR100038,Domestic Violence,High,Active,2025-01-29,05:49:39,Jogeshwari West Ext,Mumbai,Maharashtra,19.142907531619315,72.84274036707667,Rerum voluptatibus assumenda aut suscipit magnam quibusdam ipsum ut illo asperiores quas iusto.,Owen Choudhary,Other,23,9221699586,sbajwa@example.org,"95, Raj Path, Pallavaram-761645"
FIR100039,Drug Offense,Low,Resolved,2025-11-17,21:23:16,Bandra West,Mumbai,Maharashtra,19.049881428359786,72.83998333864102,Unde magni quisquam illum laborum a quam quasi illum perferendis similique rerum molestias.,Karan Aurora,Male,59,09346547226,deoyutika@example.net,"H.No. 47, Ganguly Street, Bhimavaram-065031"
FIR100040,Fraud,Medium,Resolved,2025-12-05,15:44:59,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.11444894984452,72.84612674795781,Provident accusamus fuga consequatur illo voluptate nesciunt accusantium odit.,Wazir Naik,Female,42,8485833394,wsami@example.org,"80/41, Kumer Circle, Jalgaon-264236"
FIR100041,Theft,Critical,Resolved,2025-03-30,02:19:48,Dadar Ext Ext Ext,Mumbai,Maharashtra,19.03329704917225,72.83583567549377,Eius cum doloremque doloremque quas nemo delectus in.,Owen Lanka,Female,72,5228851587,tkhurana@example.com,"13/19, Goda Nagar, Motihari 623039"
FIR100042,Assault,Low,Active,2025-10-25,13:04:12,Ghatkopar East,Mumbai,Maharashtra,19.080678046832265,72.9174785277609,Sequi et saepe perspiciatis numquam in totam architecto amet architecto soluta.,Jonathan Sama,Other,74,9684608106,nayargayathri@example.net,"H.No. 428, Shere Zila, Mangalore 823052"
FIR100043,Theft,Medium,Active,2025-07-10,05:46:55,Jogeshwari East Ext Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.10862480764126,72.85081618271326,Harum adipisci laborum iste doloribus mollitia saepe ducimus quasi magnam cumque iste sint repudiandae a.,Devansh Soni,Male,38,+910034244204,bathethan@example.net,"80/62, Bava Street, Bhatpara 395947"
FIR100044,Kidnapping,High,Resolved,2025-06-08,12:19:19,Borivali East Ext,Mumbai,Maharashtra,19.238138725953736,72.85704573322734,Non eligendi accusantium tempore soluta cumque quam quos laboriosam dolorem facere aspernatur.,Janaki Varghese,Female,72,+918057198386,saumya67@example.net,"132, Basak, Burhanpur-047876"
FIR100045,Kidnapping,High,Pending,2025-05-14,04:14:48,Ghatkopar East,Mumbai,Maharashtra,19.075853301795288,72.92450368740943,Impedit unde sint laboriosam atque at dignissimos facilis magnam deleniti consequuntur maiores deserunt.,Siya Thakur,Other,76,+918406665800,wmann@example.com,"85/996, Viswanathan Road, Rourkela-203195"
FIR100046,Cybercrime,Low,Resolved,2025-03-28,03:51:51,Malad West,Mumbai,Maharashtra,19.18298969162191,72.84407502546684,Quo modi aspernatur distinctio numquam minima modi odit possimus laborum nobis exercitationem numquam.,Caleb Verma,Male,33,4397359893,qadimupadhyay@example.org,"66/64, Bajwa Path, Morbi 036279"
FIR100047,Drug Offense,Medium,Pending,2025-04-20,14:39:45,Jogeshwari East Ext Ext,Mumbai,Maharashtra,19.123107564353067,72.84239469833744,Animi neque esse suscipit recusandae asperiores cupiditate voluptatum voluptatem ex rem saepe voluptate beatae itaque quidem.,Tara Balasubramanian,Male,48,3472122816,abhimanyupingle@example.net,"32, Karan Nagar, Nizamabad-677537"
FIR100048,Drug Offense,Low,Pending,2025-11-19,09:39:20,Bhandup Ext Ext,Mumbai,Maharashtra,19.16548837238032,72.9329067857611,Dolor dignissimos sequi nesciunt est quis nemo molestias quaerat.,Varenya Ratti,Female,31,+916484229405,uraghavan@example.com,"H.No. 321, Prasad Road, Etawah-661945"
FIR100049,Burglary,Low,Resolved,2025-06-06,05:06:36,Thane Ext,Mumbai,Maharashtra,19.220295555483276,72.97705354766767,Quasi voluptatibus vero aperiam ducimus harum ea.,Hritik Swaminathan,Female,56,02025909479,yashodamammen@example.org,"15, Hari Path, Guna-012840"
FIR100050,Burglary,Medium,Resolved,2025-03-07,23:27:05,Navi Mumbai,Mumbai,Maharashtra,19.033828068350836,73.02583303504728,Voluptatem cupiditate totam aut non fuga iure sapiente voluptatem sed saepe quasi aut aperiam et iusto.,Ethan Buch,Male,45,5158328182,chamelitak@example.com,"85/076, Sharma Path, Khammam 508917"
FIR100051,Burglary,Medium,Resolved,2025-03-04,17:22:52,Kandivali West Ext,Mumbai,Maharashtra,19.20527306535566,72.85158993168677,Eos voluptatibus eos illo deserunt assumenda sunt explicabo deserunt amet.,Manbir Bhatti,Male,49,08861533555,vasayashoda@example.com,"08/98, Dube Zila, Bathinda-422319"
FIR100052,Fraud,Critical,Active,2025-06-23,22:00:20,Goregaon East,Mumbai,Maharashtra,19.169156960938377,72.87297884984834,Eum aliquam animi esse ab ipsam at quae.,Anvi Nair,Female,45,03987801573,ekantika65@example.org,"30, Mitter Nagar, Guntur-693626"
FIR100053,Vandalism,Medium,Pending,2025-03-05,11:43:08,Ghatkopar West Ext,Mumbai,Maharashtra,19.094365786368957,72.90503138886325,Nulla suscipit illum nostrum esse quisquam eum.,Chaitaly Setty,Male,68,9930561648,benjaminkade@example.com,"H.No. 120, Subramanian Road, Muzaffarnagar 271175"
FIR100054,Murder,High,Active,2025-06-15,03:45:27,Kurla West Ext,Mumbai,Maharashtra,19.071104484223078,72.88925649817268,Qui provident dolores reiciendis eveniet suscipit blanditiis nam voluptate nisi atque illum nostrum.,Hardik Contractor,Female,72,4085887704,dipta15@example.com,"H.No. 98, Narayanan Circle, Hajipur 984933"
FIR100055,Vandalism,Low,Active,2025-12-22,02:13:31,Jogeshwari East Ext,Mumbai,Maharashtra,19.13371163258568,72.85525429688508,Eaque corrupti impedit placeat vel totam rem ad voluptas ullam quibusdam voluptatem fugit nulla accusantium tempora.,Qushi Seth,Male,66,3581128801,jagatmani@example.com,"45, Mital Circle, Machilipatnam 944128"
FIR100056,Theft,Low,Resolved,2025-06-09,20:37:15,Ghatkopar West Ext,Mumbai,Maharashtra,19.095141114560292,72.9019619683685,Odio cum dolorum reiciendis commodi modi impedit magnam commodi porro odio libero unde illo officiis.,Odika Nori,Female,26,+913613861207,osarna@example.org,"721, Tiwari Circle, Haridwar-695413"
FIR100057,Vandalism,High,Active,2025-09-18,06:05:33,Powai Ext,Mumbai,Maharashtra,19.108290094667492,72.90314630083381,Saepe necessitatibus fugit corporis minus occaecati libero reiciendis provident quia accusamus necessitatibus.,Mohini Sagar,Other,75,5011024819,aashi91@example.org,"15/066, Dube Marg, Bhalswa Jahangir Pur-551437"
FIR100058,Fraud,Medium,Resolved,2025-05-09,19:28:56,Borivali East Ext,Mumbai,Maharashtra,19.215446955383115,72.84571115792693,Optio odio ullam veniam explicabo consectetur consequatur occaecati aliquid.,Dhriti Sane,Female,62,+914667665061,lohit13@example.net,"36/63, Kohli Road, Naihati-959611"
FIR100059,Theft,High,Pending,2025-12-06,08:52:10,Mulund West Ext Ext,Mumbai,Maharashtra,19.1673337528726,72.95371429906898,Culpa adipisci vero optio totam eaque excepturi laudantium consectetur rem.,Aadhya Prasad,Female,39,0919015814,ayaanbaral@example.net,"02/867, Doshi Zila, Delhi 202455"
FIR100060,Vandalism,High,Resolved,2025-02-12,12:22:36,Goregaon West Ext,Mumbai,Maharashtra,19.16711340231372,72.85598885678854,Iure commodi nostrum at ex tempore repellat ex voluptatum sunt rem ad ut totam veniam.,Urvi Bhavsar,Other,49,4914766072,abeersuresh@example.org,"451, Butala Nagar, Srikakulam 326714"
FIR100061,Fraud,Critical,Active,2025-11-06,12:51:40,Bhandup,Mumbai,Maharashtra,19.154292867993167,72.93507461664898,Accusamus fugit enim adipisci recusandae rerum ea in facere error labore iste rem.,Frederick Chander,Male,22,3268424508,samar49@example.com,"42/17, Lad, Kottayam 793406"
FIR100062,Murder,High,Active,2025-07-24,10:10:58,Mulund West Ext,Mumbai,Maharashtra,19.16665146124619,72.95139108355023,Vitae aliquam neque ducimus assumenda magnam quas magnam ipsa vitae ea alias tempore eveniet sapiente inventore.,Gopal Pradhan,Other,40,2100996881,iverma@example.com,"77/584, Rattan Road, Noida 533722"
FIR100063,Vandalism,Low,Resolved,2025-08-23,13:21:07,Kurla West Ext Ext,Mumbai,Maharashtra,19.075930379684344,72.89427367838464,Dolore nam minus unde ipsam sunt expedita possimus tenetur.,Darpan Narayan,Female,22,03536822239,imaran17@example.com,"H.No. 912, Sen Zila, Jalgaon 455937"
FIR100064,Fraud,High,Resolved,2025-03-16,18:26:45,Kurla West Ext Ext,Mumbai,Maharashtra,19.05936524650739,72.88067336420194,Numquam dolores dignissimos omnis amet officia suscipit consequuntur nihil suscipit voluptatibus reiciendis sit nam ab eius.,Nirja Pandya,Male,59,03129087814,flall@example.org,"H.No. 894, Solanki Ganj, Bharatpur-635100"
FIR100065,Burglary,Low,Active,2026-01-20,07:20:35,Kurla West Ext,Mumbai,Maharashtra,19.07406227367943,72.88680727937111,Eius quidem temporibus aspernatur neque accusamus magni dignissimos commodi quam ducimus voluptatum nesciunt voluptatibus eum doloribus.,Charan Mani,Other,70,1413975523,jackson51@example.net,"776, Sengupta Path, Khammam 592024"
FIR100066,Drug Offense,Low,Pending,2025-06-23,21:59:39,Malad East,Mumbai,Maharashtra,19.174569465877912,72.86065583613855,Veritatis necessitatibus est nihil quidem ea repellat quasi vero.,Indira Chawla,Male,49,+914913577594,falannarain@example.org,"52, Dey Nagar, Anand-432600"
FIR100067,Burglary,Low,Pending,2025-02-26,00:50:52,Jogeshwari East Ext Ext Ext Ext,Mumbai,Maharashtra,19.12594718909446,72.83886554816125,Esse consectetur dolores facere at quasi labore odit reprehenderit ex.,Mohammed Subramaniam,Male,76,9299556205,anya78@example.net,"55/01, Thaker Chowk, Rajpur Sonarpur 584868"
FIR100068,Drug Offense,Medium,Resolved,2025-08-29,09:27:05,Ghatkopar East,Mumbai,Maharashtra,19.081738796557303,72.91767290790308,Commodi quas laudantium repellat ducimus magni maxime repellendus minus quo.,Hritik Palla,Other,27,+913645257775,murtybalvan@example.com,"07/984, Shan Circle, Anantapuram-069176"
FIR100069,Assault,Critical,Pending,2025-05-20,05:11:20,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.909955463562543,72.8264950864628,Fugit optio nihil cumque quo vel modi delectus suscipit minima cum modi.,Ishwar Mallick,Male,76,07812914283,vermaeesha@example.org,"H.No. 93, Lanka Chowk, Agra-946408"
FIR100070,Assault,Low,Active,2025-12-15,23:53:21,Jogeshwari West Ext,Mumbai,Maharashtra,19.144400832531545,72.84674089155858,Quis beatae dolor doloribus distinctio ipsa magni.,Pushti Bal,Other,56,01108099693,anandyatan@example.org,"736, Sani Nagar, Aurangabad-886084"
FIR100071,Assault,Low,Resolved,2025-09-28,03:25:59,Colaba,Mumbai,Maharashtra,18.90613380014379,72.8159364877829,Incidunt quas placeat rerum laborum illum libero accusantium veniam eius reiciendis dolor.,Ayush Gole,Female,75,+918488725639,rkannan@example.org,"38/84, Keer Zila, Kishanganj 283061"
FIR100072,Murder,Medium,Active,2025-09-24,19:51:50,Jogeshwari West Ext Ext,Mumbai,Maharashtra,19.146991390805116,72.84120980751895,Quasi nemo rerum labore corporis doloremque odio aspernatur labore tempore placeat.,Dayamai Nori,Male,32,4278816580,upma27@example.org,"01, Kuruvilla Street, Jalna 626325"
FIR100073,Burglary,Low,Active,2026-01-05,10:00:08,Cuffe Parade Ext,Mumbai,Maharashtra,18.91615295436715,72.82004718996252,Nobis culpa magnam numquam earum provident vitae assumenda placeat provident enim minima.,Abeer Golla,Female,24,3928272299,imandal@example.org,"H.No. 88, Bose Zila, Bhilai 314217"
FIR100074,Drug Offense,High,Pending,2025-12-27,14:20:26,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.909853200875453,72.82572552344412,Incidunt eum blanditiis quibusdam blanditiis nulla laudantium ducimus dolore.,Nandini Boase,Female,46,2750373145,vartytanish@example.org,"87/81, Mall Chowk, Raurkela Industrial Township 526384"
FIR100075,Fraud,High,Resolved,2025-06-16,22:29:49,Borivali East Ext,Mumbai,Maharashtra,19.221534720265733,72.8533079822344,Illo ratione asperiores facere odit est beatae illo minus incidunt vel ab repellat natus dignissimos qui.,Azaan Chand,Male,76,+910385677005,fbhavsar@example.net,"H.No. 225, Vig Street, Nangloi Jat 056618"
FIR100076,Theft,Critical,Resolved,2025-09-08,02:26:09,Malad East Ext Ext Ext,Mumbai,Maharashtra,19.185505007053766,72.85712200135306,Aperiam beatae quos saepe assumenda qui nemo officiis culpa.,Krisha Saini,Other,64,+918449892665,pranavbarad@example.com,"397, Bhavsar, Shimla-655300"
FIR100077,Fraud,Low,Pending,2025-04-11,16:09:17,Kurla West Ext Ext,Mumbai,Maharashtra,19.0593144207653,72.88139725507686,Corporis minima quis recusandae dolor quo nobis laboriosam illum aliquid occaecati.,Harita Dugar,Male,20,1846386557,lajita93@example.net,"H.No. 950, Nigam Path, Chennai-712198"
FIR100078,Theft,Medium,Active,2025-10-27,14:40:29,Dadar Ext Ext Ext,Mumbai,Maharashtra,19.013597301887565,72.83630453237714,Ipsa possimus veritatis rem soluta voluptas earum recusandae deserunt error a.,Devika Nair,Female,36,09082723184,veda82@example.com,"78, Oak Circle, Patna 348640"
FIR100079,Kidnapping,High,Active,2025-02-23,02:59:35,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.12991387545528,72.83989967776671,Sit ipsa doloribus recusandae minima id quia aut exercitationem ea impedit accusamus.,Charles Dugal,Female,27,+912225913651,brindasundaram@example.com,"H.No. 24, Dua Marg, Mau 185174"
FIR100080,Fraud,Medium,Active,2025-02-13,14:56:46,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.908812899938603,72.82870349054411,Nesciunt tempora aliquam tempora laborum eaque quibusdam voluptatibus odio consequuntur.,Chandran Bumb,Other,45,07739260302,iparikh@example.com,"H.No. 045, Chander Street, Loni 511455"
FIR100081,Vandalism,Medium,Active,2025-10-10,21:31:10,Vikhroli,Mumbai,Maharashtra,19.111522242595456,72.92371096253764,Aliquid ex dignissimos unde sequi error nemo autem porro.,Saanvi Samra,Male,46,9228092024,gopal31@example.com,"39/13, Malhotra Nagar, Jamalpur 898484"
FIR100082,Vandalism,High,Resolved,2025-04-25,17:22:23,Cuffe Parade Ext Ext,Mumbai,Maharashtra,18.909756879248008,72.83274804955421,Reprehenderit expedita ipsam occaecati placeat rem facilis aliquam voluptatem sunt veniam voluptas quam sed officiis.,Riya Sachdeva,Female,32,+918699041379,usekhon@example.org,"H.No. 461, Luthra Path, Durgapur 190170"
FIR100083,Cybercrime,Medium,Resolved,2025-11-23,11:57:57,Dadar Ext,Mumbai,Maharashtra,19.017445411038327,72.84728553914009,Nam similique perferendis iste soluta molestias at culpa delectus ea.,Tanveer Vala,Female,52,07236929298,ldalia@example.com,"81, Dutt Road, Jodhpur-229107"
